lkrID,resdn,count,sptl_unit,tsar_trty,geonm_crd,geonm_lat,geonm_long,geonm_url,cnfdnc,resdn_alt,note
29,IL,270,state,no,-,-,-,not applicable,1,,partial toponym; possibly Illinois
30,IA,17,state,no,-,-,-,not applicable,1,,partial toponym; possibly Iowa
31,MN,12,state,no,-,-,-,not applicable,1,,partial toponym; possibly Minnisota
32,Hamburg,13923,town,no,"53.55073, 9.99302",53.55073,9.99302,https://www.geonames.org/2911298/hamburg.html,3,,
33,Kovno,7915,town,yes,"54.90272, 23.90961",54.90272,23.90961,https://www.geonames.org/598316/kaunas.html,3,KOWNO,
34,Suwalki,6364,town,yes,"54.11175, 22.93087",54.11175,22.93087,https://www.geonames.org/757718/suwalki.html,3,SUWALKY; SUWALK; SUWALKEN,
35,Warsaw,4666,town,yes,"52.22977, 21.01178",52.22977,21.01178,https://www.geonames.org/756135/warsaw.html,3,WASAW; WARSAR; WARSCHAU,
36,Plotzk,4378,town,yes,"52.54682, 19.70638",52.54682,19.70638,https://www.geonames.org/3088825/plock.html,3,PLOCK; PLOCH; PLOTZ; PLACK; PLOK,
37,Wilna,4114,town,yes,"54.68916, 25.2798",54.68916,25.2798,https://www.geonames.org/593116/vilnius.html,3,,
38,Moscow,3513,town,yes,"55.75222, 37.61556",55.75222,37.61556,https://www.geonames.org/524901/moscow.html,3,MOSKAU,
39,Minsk,2842,town,yes,"53.9, 27.56667",53.9,27.56667,https://www.geonames.org/625144/minsk.html,3,,
40,Odessa,2702,town,yes,"46.48572, 30.74383",46.48572,30.74383,https://www.geonames.org/698740/odessa.html,3,,
41,Kiev,2368,town,yes,"50.45466, 30.5238",50.45466,30.5238,https://www.geonames.org/703448/kyiv.html,3,,
42,Riga,2256,town,yes,"56.946, 24.10589",56.946,24.10589,https://www.geonames.org/456172/riga.html,3,,
43,Lomze,2206,town,yes,"53.17806, 22.05935",53.17806,22.05935,https://www.geonames.org/766027/lomza.html,3,LOMZA,
44,St. Peterburg,1685,town,yes,"59.93863, 30.31413",59.93863,30.31413,https://www.geonames.org/498817/saint-petersburg.html,3,PETERSBURG,
45,Grodno,1617,town,yes,"53.6884, 23.8258",53.6884,23.8258,https://www.geonames.org/627904/hrodna.html,3,GRODNOW; GRODNY,
46,Bialystock,1642,town,yes,"53.13333, 23.16433",53.13333,23.16433,https://www.geonames.org/776069/bialystok.html,3,BIALYSTOK; BIALISTOCK; BELSTOW; BEALUSTOCK,
47,New York,1303,town,no,"40.71427, -74.00597",40.71427,-74.00597,https://www.geonames.org/5128581/new-york-city.html,3,,
48,Wasa,1194,town,yes,"63.096, 21.61577",63.096,21.61577,https://www.geonames.org/632978/vaasa.html,3,VASA,
49,Bremen,779,town,no,"53.07582, 8.80717",53.07582,8.80717,https://www.geonames.org/2944388/bremen.html,3,,
50,Libau,766,town,yes,"56.50474, 21.01085",56.50474,21.01085,https://www.geonames.org/457954/liepaja.html,3,LIBAVA,
51,Kalisch,718,town,yes,"51.76109, 18.09102",51.76109,18.09102,https://www.geonames.org/3096880/kalisz.html,3,KALICH,
52,Brest Litovsk,666,town,yes,"52.09755, 23.68775",52.09755,23.68775,https://www.geonames.org/629634/brest.html,3,BREST,
53,Saratov,630,town,yes,"51.54056, 46.00861",51.54056,46.00861,https://www.geonames.org/498677/saratov.html,3,SARATOW,
54,Berlin,554,town,no,"52.52437, 13.41053",52.52437,13.41053,https://www.geonames.org/2950159/berlin.html,3,,
55,Bossiel,554,town,no,-,-,-,undetermined,0,,
56,Mariampol,550,town,yes,"54.55991, 23.35412",54.55991,23.35412,https://www.geonames.org/597231/marijampole.html,3,,
57,Gottenburg,528,town,no,"57.70716, 11.96679",57.70716,11.96679,https://www.geonames.org/2711537/goeteborg.html,2,,
58,Stettin,503,town,no,"53.42894, 14.55302",53.42894,14.55302,https://www.geonames.org/3083829/szczecin.html,3,SLETTIN; SZCZECIN,
59,Brooklyn,471,town,no,"40.6501, -73.94958",40.6501,-73.94958,https://www.geonames.org/5110302/brooklyn.html,3,,
60,Kalwary,619,town,yes,"49.86759, 19.6772",49.86759,19.6772,https://www.geonames.org/3096852/kalwaria-zebrzydowska.html,2,KALVARY,
61,Helsingfors,473,town,yes,"60.16952, 24.93545",60.16952,24.93545,https://www.geonames.org/658225/helsinki.html,3,HELSINKY; HEBSINGJARS; HELVINGFOR,
62,Mogilev,407,town,yes,"53.9168, 30.3449",53.9168,30.3449,https://www.geonames.org/625665/mahilyow.html,3,MOHILEW; MOGILEW; MOHILOW; MOHILNO,
63,Lodz,391,town,no,"51.77058, 19.47395",51.77058,19.47395,https://www.geonames.org/3093133/lodz.html,3,,
64,Stockholm,375,town,no,"59.32938, 18.06871",59.32938,18.06871,https://www.geonames.org/2673730/stockholm.html,3,,
65,Abo,347,town,yes,"60.45148, 22.26869",60.45148,22.26869,https://www.geonames.org/633679/turku.html,3,,
66,Dunaburg,327,town,yes,"55.88333, 26.53333",55.88333,26.53333,https://www.geonames.org/460413/daugavpils.html,3,DUENABURG,
67,Wilkowisky,360,town,undetermined,-,-,-,undetermined,0,,
68,Podolsk,305,town,yes,"55.42419, 37.55472",55.42419,37.55472,https://www.geonames.org/508101/podolsk.html,3,PADOLSK; POSALSK; PODOLE,
69,Zytomir,312,town,yes,"50.26487, 28.67669",50.26487,28.67669,https://www.geonames.org/686967/zhytomyr.html,3,ZHITOMIR,
70,Kishinev,310,town,yes,"47.00556, 28.8575",47.00556,28.8575,https://www.geonames.org/618426/chisinau.html,3,KISHINEW; KISCHINEV,
71,Vitebsk,329,town,yes,"55.1904, 30.2049",55.1904,30.2049,https://www.geonames.org/620127/vitebsk.html,3,WITEBSK,
72,Neustadt,295,town,no,"49.35009, 8.13886",49.35009,8.13886,https://www.geonames.org/2864054/neustadt.html,3,,
73,Augustowo,254,town,yes,"53.84321, 22.97979",53.84321,22.97979,http://www.geonames.org/776597/augustow.html,3,AVGUSTOW,
74,Berdichew,259,town,yes,"49.89408, 28.60144",49.89408,28.60144,https://www.geonames.org/712441/berdychiv.html,3,BERDICHEV; BERDICZEW; BERDITSCHAW; BERDECZEN; BERDICZOWO,
75,Tauroggen,239,town,undetermined,-,-,-,undetermined,0,,
76,Paris,214,town,no,"48.85341, 2.3488",48.85341,2.3488,https://www.geonames.org/2988507/paris.html,3,,
77,Glasgow,215,town,no,"55.86515, -4.25763",55.86515,-4.25763,https://www.geonames.org/2648579/glasgow.html,3,GALSGOW,
