lkrID,resdn,count,sptl_unit,tsar_trty,geonm_crd,geonm_lat,geonm_long,geonm_url,cnfdnc,resdn_alt,note
236,Przemysl,9,town,yes,"49.78498, 22.76728",49.78498,22.76728,https://www.geonames.org/761168/przemysl.html,2,,
237,Ananow,8,town,yes,"47.71975, 29.95711",47.71975,29.95711,https://www.geonames.org/713500/ananyiv.html,3,ANANIEW; ANANEFF,
238,Ismail,9,town,yes,"45.35058, 28.83751",45.35058,28.83751,https://www.geonames.org/707308/izmail.html,3,,
239,Berdyansk,5,town,yes,"46.75578, 36.78815",46.75578,36.78815,https://www.geonames.org/712451/berdyansk.html,3,,
240,Belfast,1,town,no,"54.59682, -5.92541",54.59682,-5.92541,https://www.geonames.org/2655984/belfast.html,3,,
241,Harleton,315,undetermined,undetermined,-,-,-,undetermined,0,,
242,Lealy,205,undetermined,undetermined,-,-,-,undetermined,0,,
243,Aland,41,region,yes,"60.25, 20",60.25,20,https://www.geonames.org/661882/aland-islands.html,3,AALAND; ALANO; ALANS,
246,Orenburg,9,town,yes,"51.7727, 55.0988",51.7727,55.0988,https://www.geonames.org/515003/orenburg.html,3,,
247,Hungary,73,country,no,-,-,-,not applicable,3,UNGAREN,
248,Volsk,15,town,yes,"52.04541, 47.37993",52.04541,47.37993,https://www.geonames.org/472278/vol-sk.html,3,,
249,Vladislava,79,town,no,-,-,-,undetermined,0,,
250,Voronezh,17,town,yes,"51.67204, 39.1843",51.67204,39.1843,https://www.geonames.org/472045/voronezh.html,3,WORONESH,
