routeID,ships,vygs,vygs_ship,itinry,port_arv
103,16,122,7.6,Liverpool-Boston,Boston
104,168,670,4.0,Liverpool-New York,New York
105,17,121,7.1,Liverpool-Philadelphia,Philadelphia
106,3,3,1.0,Liverpool & London-Boston,Boston
107,1,1,1.0,Liverpool & London-New York,New York
108,4,5,1.3,Liverpool & Queenstown-Baltimore,Baltimore
109,12,55,4.6,Liverpool & Queenstown-Boston,Boston
110,84,1454,17.3,Liverpool & Queenstown-New York,New York
111,6,10,1.7,Liverpool & Queenstown-Philadelphia,Philadelphia
112,60,290,4.8,London-New York,New York
113,3,3,1.0,London & Plymouth-New York,New York
114,1,1,1.0,London & Queenstown-Boston,Boston
115,2,2,1.0,London & Queenstown-New York,New York
116,1,1,1.0,Marahan-New York,New York
117,1,1,1.0,Marseilles-New York,New York
118,5,5,1.0,Marseilles & Naples-New York,New York
119,1,1,1.0,Messina & Palermo-New York,New York
120,1,1,1.0,"Messina, Naples, Palermo & Trieste-New York",New York
121,3,3,1.0,Mexico (Verz Cruz)-New York,New York
122,1,1,1.0,Moville-New York,New York
123,2,2,1.0,Naples-New York,New York
124,1,1,1.0,Naples & Hamburg-New York,New York
125,1,1,1.0,"Naples, Hamburg & Southampton-New York",New York
126,2,2,1.0,Palermo-New York,New York
127,1,1,1.0,Panamaall-New Orleans,New Orleans
128,3,4,1.3,Para-New York,New York
129,1,1,1.0,Para & Rio De Janeiro-New York,New York
130,1,1,1.0,Plymouth-New York,New York
131,1,1,1.0,Point A Petro-New Orleans,New Orleans
132,3,3,1.0,Queenstown-New York,New York
133,7,8,1.1,Rio De Janeiro-New York,New York
134,2,2,1.0,Rotterdam-Baltimore,Baltimore
135,19,232,12.2,Rotterdam-New York,New York
136,2,2,1.0,Savanilla-New York,New York
137,15,207,13.8,Southampton-New York,New York
138,1,1,1.0,St. Jago-New York,New York
139,5,5,1.0,St. Thomas-New York,New York
140,18,70,3.9,Stettin-New York,New York
141,1,2,2.0,Stettin & Hamburg-New York,New York
142,1,1,1.0,Stockholm-New York,New York
143,3,21,7.0,Swinemunde-New York,New York
144,1,1,1.0,Tampico-New York,New York
145,1,1,1.0,Trinidad-New York,New York
146,1,1,1.0,Unknown-Baltimore,Baltimore
147,1,1,1.0,Unknown-Boston,Boston
148,5,5,1.0,Unknown-New York,New York
149,1,1,1.0,Vera Cruz-New Orleans,New Orleans
150,1,1,1.0,Yarrow-New York,New York
