portID,port,port_mdr,port_type,cntry_mdr,geonm_crd,geonm_lat,geonm_long,geonm_url,note
59,Para,Belém,departure,Brazil,"-1.45583, -48.50444",-1.45583,-48.50444,https://www.geonames.org/3405870/belem.html,administrative seat of Pará
60,Philadelphia,Philadelphia,arrival,United States,"39.95238, -75.16362",39.95238,-75.16362,https://www.geonames.org/4560349/philadelphia.html,
61,Plymouth,Plymouth,departure,England,"50.37153, -4.14305",50.37153,-4.14305,https://www.geonames.org/2640194/plymouth.html,
62,Puertocabello,Puerto Cabello,interim,Venezuela,"10.47306, -68.0125",10.47306,-68.0125,https://www.geonames.org/3629706/puerto-cabello.html,
63,Queenstown,Cobh,departure,Ireland,"51.85046, -8.2948",51.85046,-8.2948,https://www.geonames.org/2965260/cobh.html,Cobh was known as Queenstown from 1849 until 1920.
64,Rio De Janeiro,Rio de Janeiro,departure,Brazil,"-22.90642, -43.18223",-22.90642,-43.18223,https://www.geonames.org/3451190/rio-de-janeiro.html,
65,Rotterdam,Rotterdam,departure,The Netherlands,"51.9225, 4.47917",51.9225,4.47917,https://www.geonames.org/2747891/rotterdam.html,
66,Santander ,Santander ,interim,Spain,"43.46472, -3.80444",43.46472,-3.80444,https://www.geonames.org/3109718/santander.html,
67,Savanilla,Sabanilla,departure,Colombia,"11.0359, -74.91945",11.0359,-74.91945,https://www.geonames.org/3670458/sabanilla.html,
68,Southampton,Southampton,departure,England,"50.90395, -1.40428",50.90395,-1.40428,https://www.geonames.org/2637487/southampton.html,
69,St. Jago,Spanish Town,departure,Jamaica,"17.99107, -76.95742",17.99107,-76.95742,https://www.geonames.org/3488465/spanish-town.html,
70,St. Thomas,Charlotte Amalie,departure,U. S. Virgin Islands,"18.3419, -64.9307",18.3419,-64.9307,https://www.geonames.org/4795467/charlotte-amalie.html,
71,Stettin,Szczecin,departure,Poland,"53.42894, 14.55302",53.42894,14.55302,https://www.geonames.org/3083829/szczecin.html,
72,Stockholm,Stockholm,departure,Sweden,"59.32938, 18.06871",59.32938,18.06871,https://www.geonames.org/2673730/stockholm.html,
73,Swinemunde,Świnoujście,departure,Poland,"53.91053, 14.24712",53.91053,14.24712,https://www.geonames.org/3083955/swinoujscie.html,
74,Tampico,Tampico,departure,Mexico,"22.28519, -97.87777",22.28519,-97.87777,https://www.geonames.org/3516355/tampico.html,"also ""Mexican ports"""
75,Trieste,Trieste,interim,Italy,"45.64953, 13.77678",45.64953,13.77678,https://www.geonames.org/3165185/trieste.html,
76,Trinidad,Port-of-Spain,departure,Trinidad and Tobago,"10.66668, -61.51889",10.66668,-61.51889,https://www.geonames.org/3573890/port-of-spain.html,
77,Valencia,Valencia,interim,Spain,"39.46975, -0.37739",39.46975,-0.37739,https://www.geonames.org/2509954/valencia.html,
78,Vera Cruz,Veracruz,departure,Mexico,"19.18095, -96.1429",19.18095,-96.1429,https://www.geonames.org/3514783/veracruz.html,
